census_tract,population_density
36005034500,35403.71104
36005034800,39311.49323
36005035000,30870.19816
36005035100,15790.65087
36005035600,14482.01698
36005035800,29983.97395
36005035900,71936.07751
36005036000,29424.60519
36005036100,87504.05361
36005036300,82728.23993
36005036400,33099.17256
36005036501,105327.1336
36005036502,64949.2685
36005036700,74363.0437
36005036800,33075.70353
36005036901,50104.09067
36005036902,96451.17636
36005037000,41339.3937
36005037100,58862.47257
36005037200,31782.99754
36005037300,91338.6139
36005037400,60304.38331
36005037504,43465.56478
36005037600,47205.80862
36005037800,70106.91744
36005037900,93104.85159
36005038000,59879.4894
36005038100,117150.942
36005038200,46998.40792
36005038301,126660.1361
36005038303,117714.3844
36005038304,93618.07169
36005038500,73499.91879
36005038600,50301.16619
36005038700,48532.48624
36005038800,51239.10902
36005038900,73269.8475
36005039000,47380.78529
36005039100,90771.63701
36005039200,48737.05757
36005039300,114491.3802
36005039400,82879.47332
36005039500,26911.95683
36005039600,52037.61308
36005039700,22149.8831
36005039800,42944.92032
36005039901,89729.23201
36005039902,118363.8533
36005040100,76121.14072
36005040302,173379.1571
36005040303,143270.2671
36005040304,158617.7789
36005040400,42466.9056
36005040501,137063.6903
36005040502,134252.3362
36005040600,43976.92395
36005040701,143870.9271
36005040702,99070.26846
36005040800,93458.7732
36005040900,11229.40941
36005041100,68470.87369
36005041300,116249.0143
36005041400,26550.36901
36005041500,111943.4228
36005041800,36142.3693
36005041900,57258.4228
36005042000,67203.35382
36005042100,64544.02182
36005042200,47606.09451
36005042300,60005.54315
36005042400,37765.45011
36005042500,67584.14391
36005042600,35626.70534
36005042800,34135.38638
36005042901,93993.95114
36005042902,118687.7008
36005043000,37085.43519
36005043101,130393.4185
36005043102,117211.8812
36005043400,26937.59377
36005043501,7756.130499
36005043502,3.127685641
36005043503,67.79777982
36005043600,34489.88666
36005044200,41342.98203
36005044400,28264.86295
36005044800,30924.7239
36005044901,31872.23985
36005044902,36842.09915
36005045101,26738.22717
36005045102,26930.97683
36005045600,9772.320858
36005045800,61183.20131
36005046000,26006.60607
36005046203,22084.47632
36005046204,105181.0243
36005046205,13163.95421
36005046206,165568.6451
36005046207,85723.1811
36005046208,27524.54922
36005046209,20773.29703
36005048401,19948.59921
36005048402,559.0951872
36005050400,1.787791358
