station_name,ridership_in_2019
Grand Central-42nd St,45745700
Grand St,8024364
Grand St,1847219
Grant Ave,1749932
Greenpoint Ave,3089912
Gun Hill Rd,2271942
Gun Hill Rd,1248513
Halsey St,2120521
Halsey St,2176141
Harlem-148th St,1120454
Hewes St,1117566
High St,3536860
Houston St,4496793
Howard Beach-JFK Airport,1171303
Hoyt St,2293256
Hoyt-Schermerhorn Sts,3605153
Hunters Point Ave,1885928
Hunts Point Ave,3174354
Intervale Ave,964689
Inwood-207th St,3150731
Jackson Ave,1584727
Jackson Heights-Roosevelt Ave/74th St,17077862
Jamaica Center-Parsons/Archer,10010419
Jamaica-179th St,6262449
Jamaica-Van Wyck,1412179
Jay St-MetroTech,12238047
Jefferson St,2237997
Junction Blvd,6883317
Junius St,676092
Kew Gardens-Union Tpke,7625674
Kings Hwy,5938819
Kings Hwy,1129071
Kings Hwy,1371311
Kingsbridge Rd,2733096
Kingsbridge Rd,2485283
Kingston Ave,1472802
Kingston-Throop Aves,2055094
Knickerbocker Ave,1544093
Kosciuszko St,1779062
Lafayette Ave,1599887
Lexington Ave/51st St,18957465
Lexington Ave/59th St,16760813
Lexington Ave/63rd St,6567634
Liberty Ave,833633
Livonia Ave,856615
Longwood Ave,949680
Lorimer St,1747990
Marble Hill-225th St,1561844
Marcy Ave,4717791
Metropolitan Ave/Lorimer St,4696924
Mets-Willets Point,2025162
Middle Village-Metropolitan Ave,1090449
Middletown Rd,597839
Montrose Ave,1933886
Morgan Ave,2100475
Morris Park,711229
Morrison Ave-Soundview,1970185
Mosholu Pkwy,2491758
Mt Eden Ave,1551038
Myrtle Ave,3854024
Myrtle-Willoughby Aves,1820637
Myrtle-Wyckoff Aves,5927332
Nassau Ave,3136229
Neck Rd,1362524
Neptune Ave,428163
Nereid Ave,1006617
Nevins St,3150597
New Lots Ave,1643487
New Lots Ave,1254351
Newkirk Ave,2131839
Newkirk Plaza,3252504
Northern Blvd,2008091
Norwood Ave,948571
Norwood-205th St,2639003
Nostrand Ave,1370372
Nostrand Ave,5608232
Ocean Pkwy,1033340
Ozone Park-Lefferts Blvd,2216647
Park Pl,519984
Parkchester,4734709
Parkside Ave,1955051
Parsons Blvd,2086114
Pelham Bay Park,2134403
Pelham Pkwy,2651208
Pelham Pkwy,896134
Pennsylvania Ave,1360708
President St,1037219
Prince St,4342692
Prospect Ave,2148059
Prospect Ave,1780893
Prospect Park,3323334
Queens Plaza,4334290
Queensboro Plaza,5018211
Ralph Ave,1829126
Rector St,2554523
Rector St,2014996
Rockaway Ave,1451431
Rockaway Ave,1787343
Rockaway Blvd,2299903
Rockaway Park-Beach 116th St,228144
Roosevelt Island,2380764
Saratoga Ave,1556357
Seneca Ave,1080829
Sheepshead Bay,4169796
Shepherd Ave,977012
Simpson St,2602749
Smith-9th Sts,1435824
South Ferry/Whitehall St,10272682
Spring St,3754272
Spring St,4423135
St Lawrence Ave,1276865
Steinway St,4715335
Sterling St,1654809
Sutphin Blvd,1345420
Sutphin Blvd-Archer Ave,7354064
Sutter Ave,1047762
Sutter Ave-Rutland Rd,2019485
Times Sq-42nd St/Bryant Pk/5th Ave,82233996
Tremont Ave,3052099
Union St,2271983
Utica Ave,5106247
Van Cortlandt Park-242nd St,2189109
Van Siclen Ave,853106
Van Siclen Ave,918811
Van Siclen Ave,791691
Vernon Blvd-Jackson Ave,4623070
W 4th St-Washington Sq,14063633
W 8th St-NY Aquarium,837836
Wakefield-241st St,1404748
Wall St,6910581
Wall St,5720475
West Farms Sq-E Tremont Ave,2104945
Westchester Sq-E Tremont Ave,1796415
Whitlock Ave,586845
Wilson Ave,1290221
Winthrop St,1882065
Woodhaven Blvd,1337787
Woodhaven Blvd,6381132
Woodlawn,2094285
Woodside-61st St,5345369
World Trade Center,20820549
WTC Cortlandt,4232521
York St,3927129
Zerega Ave,795756
