station_index_id,station_name,ridership_in_2019,latitude,longitude
133,81st St-Museum of Natural History,4407607,40.78134608,-73.97209795
134,82nd St-Jackson Hts,4893865,40.747659,-73.883697
135,85th St-Forest Pkwy,1061293,40.692427,-73.860087
139,86th St,8378778,40.77786104,-73.95177091
136,86th St,5659795,40.788644,-73.976218
137,86th St,13537308,40.779492,-73.955589
138,86th St,3232637,40.78582305,-73.96882849
139,86th St,708542,40.77786104,-73.95177091
140,86th St,3434888,40.62268667,-74.028398
141,86th St,3434888,40.59317963,-73.97821719
142,88th St,853110,40.679843,-73.85147
143,8th Ave,3801700,40.634971,-74.011516
144,8th St-New York University,5434212,40.730465,-73.992508
145,90th St-Elmhurst Ave,5272683,40.748408,-73.876613
146,96th St,11628887,40.793919,-73.972323
147,96th St,5145222,40.785672,-73.95107
148,96th St,3038864,40.7916188,-73.96460246
149,96th St,6154837,40.78423665,-73.94706602
150,9th Ave,1708387,40.64648408,-73.99444874
151,Alabama Ave,628299,40.676998,-73.898526
152,Allerton Ave,1614464,40.86548338,-73.86723423
153,Aqueduct-North Conduit Ave,263422,40.668234,-73.834058
154,Aqueduct Racetrack,601436,40.672097,-73.835919
155,Astor Pl,5502925,40.730054,-73.99107
156,Astoria-Ditmars Blvd,5277341,40.77503567,-73.912034
157,Astoria Blvd,723354,40.770037,-73.918095
158,Atlantic Ave,469819,40.67534467,-73.903097
159,Atlantic Ave-Barclays Center,13939794,40.68419139,-73.97771446
160,Ave H,991766,40.62920838,-73.96151794
161,Ave I,584129,40.62501744,-73.97606933
162,Ave J,1775846,40.62502282,-73.96069316
163,Ave M,1691285,40.61739774,-73.95924311
164,Ave N,877383,40.61435671,-73.97404851
165,Ave P,739804,40.60884281,-73.97300282
166,Ave U,547776,40.59592483,-73.97337642
167,Ave U,1019104,40.597236,-73.979084
168,Ave U,2301941,40.59930895,-73.95581122
169,Ave X,758700,40.58944967,-73.974266
170,Bay 50th St,821873,40.58884067,-73.983765
171,Bay Pkwy,2446673,40.60195046,-73.9936762
172,Bay Pkwy,362802,40.62073162,-73.97525698
173,Bay Pkwy,2071452,40.61145579,-73.98178001
174,Bay Ridge-95th St,1743441,40.61662167,-74.030876
175,Bay Ridge Ave,2354120,40.63496667,-74.023377
176,Baychester Ave,1094872,40.878663,-73.838591
177,Beach 105th St,88439,40.58326844,-73.82758075
178,Beach 25th St,517164,40.600066,-73.761353
179,Beach 36th St,292305,40.595398,-73.768175
180,Beach 44th St,215701,40.592943,-73.776013
181,Beach 60th St,623826,40.592374,-73.788522
182,Beach 67th St,718008,40.590927,-73.796924
183,Beach 90th St,348771,40.58809156,-73.8136514
184,Beach 98th St,164130,40.58538569,-73.82052059
185,Bedford-Nostrand Aves,2795387,40.689627,-73.953522
186,Bedford Ave,7836366,40.717174,-73.956665
